EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,dir_330_embed_withnorm_v4_eval_rewards,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,Alpha_Mean,Alpha_Std,Alpha_Max,Alpha_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
10,2.516631841659546,6200,6189.86200,-339.73139,-2.41002,0.00171,2.51271,0.00214,6398.80830,-2.00457,0.02055,-1.92515,-2.06008,1.00616,0.00017,1.00645,1.00587,-0.01283,0.00098,-0.01064,-0.01623,-299.08805,2.72639,-290.68600,-305.82916,1823.46444,184.85362,2307.24683,1429.66101,2697.60950,201.57684,3263.46240,2194.61963,-1.72992,0.00946,-1.70555,-1.76350,0.56100,0.00864,0.58416,0.54216,1.97638,0.09466,2.00000,1.36299,-5.20867,0.83961,-3.67575,-6.32653,10.09065,0.14178,10.55030,9.75524,5.01722,0.16603,5.48520,4.58137,44.99372,6.49325,57.04776,29.43112,-3.75756,1.51034,-0.69792,-9.25471,0.18168,0.00968,0.21291,0.15176,1.18037,0.01469,1.21943,1.13195,6.41790,0.45081,6.84889,5.05189,-7.59982,1.61357,-4.56179,-10.60625
11,2.389563798904419,6400,6171.71644,-405.78706,-1.73470,0.00184,2.38508,0.00257,6237.86744,-2.00474,0.02061,-1.94899,-2.06495,1.00674,0.00017,1.00704,1.00645,-0.01405,0.00094,-0.01193,-0.01621,-299.58361,2.68629,-293.36313,-306.21948,1822.17782,170.85335,2284.78442,1462.22058,2667.46228,202.16827,3479.16797,2173.55298,-1.73209,0.00934,-1.70370,-1.75710,0.56163,0.00848,0.58654,0.54027,1.98726,0.08641,2.00000,1.18375,-5.20986,0.75840,-3.81526,-6.32809,10.09184,0.13646,10.48944,9.76139,5.00027,0.17525,5.55895,4.56132,44.11658,6.54187,56.39922,29.82054,-3.97282,1.59788,-0.24236,-8.21475,0.18275,0.01137,0.20881,0.14135,1.17756,0.01255,1.21017,1.14449,6.48456,0.39579,6.84002,4.85617,-7.47707,1.46729,-4.93688,-10.60129
12,2.4805848598480225,6600,6174.41757,-418.62961,-2.38658,0.00201,2.47627,0.00225,6380.48706,-2.01407,0.02370,-1.94981,-2.08010,1.00733,0.00017,1.00762,1.00704,-0.01516,0.00110,-0.01237,-0.01766,-298.60539,2.85566,-291.18707,-307.33411,1816.22870,202.02289,2589.85620,1420.98010,2651.99926,215.69024,3373.12573,2169.69116,-1.73564,0.00879,-1.71056,-1.75982,0.55878,0.00852,0.58270,0.53666,1.98227,0.07956,2.00000,1.32176,-5.17980,0.76764,-3.74578,-6.32955,10.07594,0.13804,10.39051,9.68930,4.96964,0.16747,5.37150,4.55315,44.08140,6.46079,57.29748,29.18740,-3.63848,1.49249,-0.22410,-8.93250,0.17862,0.01066,0.20639,0.14873,1.17394,0.01430,1.21845,1.13743,6.44524,0.39439,6.83720,4.97231,-7.38635,1.41444,-4.75597,-10.60137
13,2.2016892433166504,6800,6015.04555,-397.80212,-1.99551,0.00201,2.19757,0.00204,4696.15498,-2.01061,0.02327,-1.95065,-2.07673,1.00793,0.00017,1.00823,1.00763,-0.01687,0.00109,-0.01335,-0.01980,-296.18775,2.88326,-287.62460,-302.50500,1838.46036,177.35812,2401.07959,1421.06873,2802.25999,210.75684,3393.25830,2297.29468,-1.73884,0.00933,-1.71346,-1.76628,0.56024,0.00813,0.57995,0.53521,1.98286,0.10144,2.00000,1.08522,-5.10915,0.75199,-3.69307,-6.33248,10.13805,0.13299,10.42673,9.73516,4.99334,0.15719,5.41412,4.57497,43.94185,6.38637,57.35212,29.33231,-3.67871,1.50074,-0.54220,-9.76448,0.18068,0.01013,0.20606,0.15032,1.17745,0.01232,1.20759,1.12777,6.38783,0.47980,6.82939,4.89988,-7.51619,1.50166,-4.69880,-10.60224
14,2.2864935398101807,7000,6131.10370,-456.62754,-2.83724,0.00163,2.28236,0.00243,5978.61329,-2.01402,0.02259,-1.94294,-2.06446,1.00854,0.00018,1.00885,1.00823,-0.01883,0.00126,-0.01572,-0.02253,-292.42877,2.98215,-283.08969,-299.71024,1803.86688,174.05259,2304.57593,1362.50940,2876.90828,195.55107,3701.00562,2344.92651,-1.74704,0.00948,-1.72416,-1.76724,0.56092,0.00860,0.58600,0.53537,1.99052,0.04318,2.00000,1.71452,-5.14104,0.74707,-3.83393,-6.33349,10.21569,0.14264,10.57341,9.81681,5.00283,0.18019,5.58071,4.49640,44.11346,6.52528,56.73714,29.36993,-3.56183,1.56865,-0.30244,-10.40237,0.18354,0.01190,0.21249,0.15000,1.17710,0.01348,1.21485,1.14608,6.42250,0.42538,6.81917,5.07250,-7.71195,1.59049,-4.75261,-10.60444
15,1.9161100387573242,7200,6145.63795,-393.39546,-1.86941,0.00177,1.91202,0.00226,6351.50643,-2.00442,0.02242,-1.94183,-2.07745,1.00916,0.00018,1.00947,1.00885,-0.02028,0.00134,-0.01700,-0.02374,-292.93263,2.81160,-284.85590,-300.73453,1797.16954,164.78430,2432.25757,1437.30273,2857.71228,219.38403,3635.33984,2384.44458,-1.75102,0.01051,-1.72213,-1.77883,0.56090,0.00856,0.58115,0.54027,1.97929,0.09898,2.00000,1.16847,-5.08005,0.73264,-3.74686,-6.33681,10.22379,0.13611,10.54657,9.87170,4.99988,0.16813,5.58506,4.59034,43.72388,6.57856,56.44601,29.18087,-3.93554,1.58006,-0.87139,-8.97236,0.18688,0.01083,0.21375,0.16242,1.17390,0.01270,1.21959,1.14108,6.69154,0.66850,7.87173,5.08281,-7.36191,1.52651,-4.69248,-10.60495
16,2.1709678173065186,7400,6144.90728,-435.81158,-2.84251,0.00151,2.16713,0.00227,6406.28848,-2.00490,0.02139,-1.96470,-2.06656,1.00979,0.00018,1.01009,1.00948,-0.02159,0.00139,-0.01710,-0.02634,-293.50457,2.97469,-285.27682,-302.22571,1768.34146,177.12749,2211.09937,1306.71497,2790.55199,202.12584,3321.64380,2286.09131,-1.75189,0.01050,-1.72086,-1.77886,0.56091,0.00851,0.58861,0.54660,1.97126,0.12527,2.00000,1.07446,-5.09333,0.72121,-3.85112,-6.33885,10.21834,0.14170,10.62902,9.79305,4.99851,0.15710,5.56444,4.59482,43.22635,6.52397,56.43836,29.18124,-3.70119,1.54307,-0.84989,-11.05220,0.18718,0.01100,0.21368,0.15918,1.17262,0.01448,1.21151,1.13603,6.62932,0.64095,7.87082,5.07808,-7.46943,1.51629,-4.42264,-10.60360
17,1.8946664333343506,7600,6130.14894,-330.75710,-2.13668,0.00168,1.89081,0.00211,6253.35420,-2.00551,0.02276,-1.94303,-2.07424,1.01040,0.00018,1.01070,1.01010,-0.02270,0.00150,-0.01940,-0.02695,-294.53021,2.90943,-286.21457,-301.74170,1743.18402,167.71534,2258.65381,1339.99011,2767.97351,219.15896,3530.74854,2209.72437,-1.75047,0.00902,-1.72824,-1.77568,0.56292,0.00818,0.58838,0.53795,1.95827,0.15719,2.00000,1.02299,-5.13727,0.71130,-3.80590,-6.34303,10.19513,0.14184,10.57573,9.89253,4.98664,0.18815,5.49891,4.62036,42.96003,6.69920,56.56656,29.49191,-3.63632,1.58307,-0.22075,-9.44232,0.18801,0.01173,0.22380,0.15007,1.17061,0.01365,1.21157,1.13007,6.59860,0.67466,7.86626,4.96197,-7.20679,1.51256,-4.16829,-10.59713
18,2.3610236644744873,7800,6058.82168,-407.01216,-1.67443,0.00156,2.35669,0.00268,5574.67065,-2.00316,0.02270,-1.94281,-2.06380,1.01101,0.00017,1.01131,1.01071,-0.02372,0.00163,-0.02027,-0.02964,-295.80589,2.92893,-282.89127,-302.92221,1835.15592,184.27532,2470.03589,1357.94104,2734.46135,198.13824,3258.56714,2146.76562,-1.75130,0.00946,-1.72274,-1.77651,0.56333,0.00857,0.58686,0.54315,1.96151,0.12919,2.00000,1.17201,-5.05922,0.71791,-3.68768,-6.34317,10.16722,0.14724,10.64133,9.82252,4.97597,0.17435,5.43494,4.61620,42.99973,7.23299,57.28289,27.13811,-3.72668,1.80435,-0.45078,-16.60090,0.18348,0.01022,0.22522,0.15939,1.16786,0.01457,1.20137,1.13406,6.58488,0.58865,7.86224,5.05040,-7.28358,1.55323,-4.55141,-10.59980
19,2.0855648517608643,8000,6060.13403,-410.92568,-2.57534,0.00182,2.08105,0.00261,6323.58948,-2.00719,0.02134,-1.94936,-2.07118,1.01161,0.00017,1.01190,1.01131,-0.02468,0.00158,-0.02102,-0.02840,-295.77277,2.84380,-287.99393,-303.48834,1852.95796,171.49642,2454.68481,1506.32874,2746.48367,220.66877,3481.50977,2283.51562,-1.74941,0.00897,-1.72519,-1.77546,0.56353,0.00765,0.58236,0.54392,1.97371,0.10109,2.00000,1.23604,-5.07097,0.72796,-3.70482,-6.34342,10.13966,0.13226,10.44624,9.81572,4.96492,0.16263,5.43177,4.53287,42.90919,7.11125,56.94176,26.06957,-3.66840,1.51531,-0.93345,-10.07547,0.17698,0.01117,0.20526,0.14256,1.16833,0.01228,1.19861,1.13508,6.60952,0.65317,7.86293,4.85135,-7.26388,1.55304,-4.17865,-10.59984
