EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,dir_330_embed_withnorm_v4_eval_rewards,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,Alpha_Mean,Alpha_Std,Alpha_Max,Alpha_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
229,2.2263355255126953,50000,5896.62898,-211.03414,-0.23498,0.00156,2.22222,0.00248,6254.05538,-1.41393,0.02935,-1.33346,-1.49781,1.14666,0.00020,1.14700,1.14632,-0.25756,0.01787,-0.20994,-0.29580,-302.79992,2.38608,-294.85254,-309.61459,1487.18142,136.56742,1909.11194,1213.14417,2999.22074,179.10110,3522.24805,2572.58862,-1.67870,0.00980,-1.64522,-1.70402,0.54944,0.00751,0.56715,0.53179,1.79389,0.32350,2.00000,0.67685,-4.59337,1.02590,-3.48014,-8.35507,9.88205,0.13067,10.16105,9.53329,4.33554,0.16569,4.89462,4.03917,40.14918,12.72112,83.37172,25.38975,-3.19550,1.51693,-0.22898,-8.16873,0.09878,0.00950,0.12753,0.07077,1.18969,0.01233,1.22300,1.15918,6.39320,0.93398,8.82067,4.70922,-6.47280,1.29402,-3.97624,-10.54475
230,2.0729525089263916,50200,5876.17330,-29.66693,-0.21746,0.00178,2.06893,0.00218,5972.31786,-1.40230,0.02916,-1.32184,-1.49141,1.14734,0.00020,1.14768,1.14701,-0.25660,0.01709,-0.20950,-0.30717,-302.88115,2.42389,-296.00497,-309.60678,1489.50515,151.29703,1877.51404,1127.79651,2951.47624,173.93954,3566.38599,2514.59888,-1.67702,0.00954,-1.64619,-1.70293,0.54953,0.00750,0.56918,0.52505,1.82749,0.30326,2.00000,0.50734,-4.51329,0.94027,-3.50213,-8.35499,9.86692,0.12426,10.23608,9.52731,4.31072,0.17592,5.04388,3.88649,38.63002,11.55962,83.66959,24.68787,-3.42731,1.79569,-0.01245,-11.91144,0.09745,0.00999,0.12076,0.06565,1.18886,0.01265,1.22648,1.15543,6.37347,0.99972,8.81650,4.56244,-6.67715,1.47259,-4.07933,-10.54614
231,2.044501304626465,50400,5977.92078,-86.18794,-0.16434,0.00163,2.04028,0.00251,5297.21309,-1.40091,0.03042,-1.28370,-1.49461,1.14802,0.00020,1.14836,1.14769,-0.25643,0.01678,-0.21959,-0.30261,-302.83369,2.27803,-296.63214,-310.70480,1481.67845,157.63158,1934.05066,1117.95972,2974.63725,175.14112,3500.36328,2543.35620,-1.67701,0.00977,-1.65197,-1.70318,0.54941,0.00791,0.56643,0.52880,1.80126,0.32058,2.00000,0.71362,-4.65120,1.08337,-3.51743,-8.34924,9.85767,0.12145,10.19008,9.59310,4.32204,0.17081,4.93329,3.88609,40.01260,12.70803,84.92430,25.30293,-3.50545,1.69243,-0.13568,-9.50057,0.09666,0.00967,0.12438,0.06838,1.18774,0.01152,1.22258,1.15909,6.36959,0.97715,8.82044,4.93452,-6.51467,1.35656,-4.00764,-10.54426
232,2.310818910598755,50600,5975.98513,-29.13825,0.13873,0.00179,2.30664,0.00232,6336.40748,-1.39815,0.03109,-1.31921,-1.47591,1.14870,0.00020,1.14904,1.14837,-0.25598,0.01547,-0.21609,-0.29593,-302.86835,2.24437,-295.51367,-308.21011,1463.83947,150.00667,1893.46997,1122.78845,2986.17329,181.06395,3581.86304,2617.86084,-1.67713,0.00946,-1.65048,-1.71066,0.54872,0.00665,0.56402,0.52930,1.78910,0.31054,2.00000,0.57882,-4.49888,0.87947,-3.49491,-8.34949,9.84650,0.11166,10.13301,9.55760,4.30581,0.14216,4.89238,4.00697,38.39901,10.45780,83.52061,25.41399,-3.45445,1.69033,-0.15080,-9.03520,0.09672,0.00949,0.12402,0.07173,1.18693,0.01167,1.22211,1.15494,6.33093,0.98154,8.82239,4.74417,-6.46376,1.32735,-4.16555,-10.54728
233,2.0212912559509277,50800,5980.24384,-96.44982,0.09086,0.00157,2.01721,0.00243,6288.51816,-1.39275,0.02826,-1.30554,-1.46924,1.14938,0.00020,1.14972,1.14904,-0.25753,0.01666,-0.21348,-0.30453,-302.92707,2.37831,-295.37531,-309.79785,1490.19518,146.45110,1853.53320,1100.43921,2980.70565,184.40800,3404.47461,2596.45068,-1.67384,0.01085,-1.63560,-1.70215,0.54880,0.00690,0.56537,0.53321,1.79041,0.32565,2.00000,0.61429,-4.55463,0.92330,-3.46059,-8.34789,9.84978,0.11963,10.18669,9.53654,4.29899,0.14618,4.79298,3.97300,38.42112,11.51945,84.34855,24.80248,-3.50688,1.68581,-0.27571,-8.69445,0.09663,0.00847,0.11978,0.07365,1.18960,0.01150,1.22192,1.16455,6.43445,1.05354,8.82109,4.59635,-6.48626,1.41407,-3.86820,-10.54353
234,1.9983108043670654,51000,5980.75195,-73.37486,0.08449,0.00157,1.99418,0.00248,6328.10387,-1.39014,0.03183,-1.30023,-1.48772,1.15006,0.00020,1.15040,1.14972,-0.25932,0.01615,-0.19774,-0.29731,-302.79926,2.17366,-295.82773,-308.41760,1460.90624,133.29592,1871.19299,1152.62048,2967.89774,183.61996,3574.22974,2440.31323,-1.67566,0.00976,-1.65327,-1.69946,0.54917,0.00681,0.56678,0.53448,1.79331,0.30457,2.00000,0.79893,-4.57691,0.93833,-3.48172,-8.35224,9.85473,0.11558,10.12240,9.41597,4.30969,0.14742,4.78612,3.96639,39.12126,11.02168,82.97457,26.12736,-3.37979,1.60856,-0.26006,-10.11141,0.09620,0.00941,0.12480,0.07321,1.18861,0.01286,1.22333,1.14916,6.37893,1.02154,8.82055,4.55797,-6.49889,1.31253,-3.93031,-10.53943
235,1.9930860996246338,51200,5991.68193,-97.12348,0.23642,0.00157,1.98936,0.00209,6288.95299,-1.38469,0.03016,-1.28870,-1.46343,1.15074,0.00020,1.15108,1.15041,-0.25905,0.01641,-0.21743,-0.30128,-302.72779,2.38900,-294.95465,-309.55652,1474.31410,141.45287,1888.47974,1138.58228,2981.12063,191.58969,3523.64453,2528.67725,-1.67436,0.01020,-1.64105,-1.70151,0.54916,0.00738,0.56651,0.52830,1.79769,0.31757,2.00000,0.69441,-4.51506,0.87993,-3.54513,-8.35076,9.84501,0.11676,10.14228,9.55155,4.30131,0.14889,4.80547,3.92209,37.69492,9.80708,83.07990,25.52944,-3.19390,1.84582,-0.13227,-13.34107,0.09590,0.00934,0.11920,0.06760,1.18935,0.01231,1.22290,1.16349,6.42948,1.02647,8.82503,4.66971,-6.54921,1.26367,-4.16613,-10.54058
236,2.0201096534729004,51400,6121.72300,-34.10521,0.28923,0.00131,2.01624,0.00248,6325.15779,-1.38197,0.02737,-1.30381,-1.44182,1.15143,0.00020,1.15177,1.15109,-0.26193,0.01541,-0.20949,-0.31434,-303.28285,2.39380,-295.55417,-309.39743,1471.92497,151.11356,1900.37146,1056.74451,2971.80057,184.46978,3421.15552,2461.42822,-1.67393,0.01004,-1.64383,-1.69839,0.54854,0.00668,0.56506,0.53170,1.79664,0.33825,2.00000,0.71368,-4.62973,1.06426,-3.39194,-8.35408,9.85765,0.10927,10.23128,9.48471,4.31097,0.14356,4.78305,3.98362,39.24079,11.81776,83.08203,25.36783,-3.45185,1.67031,-0.21176,-10.78888,0.09607,0.00958,0.12305,0.06790,1.18911,0.01253,1.22739,1.14739,6.31647,0.98701,8.82169,4.69647,-6.37934,1.27840,-4.02152,-10.54148
237,2.025604724884033,51600,6026.15869,-23.03573,0.07295,0.00138,2.02164,0.00250,5379.79535,-1.37745,0.03110,-1.28942,-1.44720,1.15212,0.00020,1.15246,1.15177,-0.26470,0.01731,-0.22587,-0.31886,-302.88950,2.25097,-297.24716,-308.83539,1465.70012,138.79638,1888.80212,1111.12476,2990.86770,174.09188,3415.78369,2522.18311,-1.67319,0.01047,-1.64597,-1.70241,0.54867,0.00729,0.56875,0.52858,1.77167,0.32917,2.00000,0.62362,-4.51815,0.90430,-3.49642,-8.34967,9.86938,0.12228,10.25327,9.59433,4.30714,0.15071,4.94517,3.96625,38.48797,10.37148,82.98643,23.48486,-3.33482,1.78425,-0.18493,-11.77199,0.09547,0.00934,0.12171,0.07519,1.19139,0.01204,1.22535,1.15514,6.46525,1.05364,8.82185,4.59810,-6.49885,1.48893,-4.28966,-10.54214
238,1.7602646350860596,51800,6072.07466,-129.26060,-0.32702,0.00172,1.75640,0.00208,6250.22467,-1.37860,0.02702,-1.30409,-1.46817,1.15281,0.00020,1.15315,1.15247,-0.26398,0.01645,-0.22160,-0.31501,-303.44932,2.47330,-296.17767,-309.74765,1468.22268,143.24601,1870.84790,1181.93591,2987.17384,182.66734,3501.68628,2442.72583,-1.67312,0.01026,-1.63935,-1.70329,0.54709,0.00625,0.56383,0.53047,1.79828,0.33018,2.00000,0.59237,-4.60143,1.01759,-3.51897,-8.34929,9.85640,0.11564,10.21770,9.56077,4.31334,0.17479,5.19169,3.95962,40.46769,12.93273,84.02971,25.39067,-3.26952,1.59035,0.01406,-10.55773,0.09455,0.00979,0.12048,0.07228,1.18990,0.01214,1.23286,1.16574,6.29016,0.97475,8.82038,4.66048,-6.57435,1.41743,-3.78670,-10.54482
239,2.3149735927581787,52000,6062.24052,-150.85656,0.04733,0.00146,2.31135,0.00209,6155.71393,-1.37465,0.02683,-1.30249,-1.42987,1.15349,0.00020,1.15383,1.15316,-0.26210,0.01835,-0.20331,-0.32122,-303.62758,2.39415,-297.37180,-309.87381,1471.33276,149.08766,1932.34082,1143.78052,2999.01569,175.23590,3577.94531,2592.92896,-1.67362,0.01013,-1.64934,-1.70342,0.54815,0.00803,0.57422,0.52717,1.79510,0.29779,2.00000,0.85366,-4.59522,0.97622,-3.55817,-8.35059,9.83554,0.12857,10.24681,9.42230,4.28506,0.16020,4.88791,3.93859,38.37499,11.19589,83.46800,25.52602,-3.40141,1.45429,-0.29020,-8.88857,0.09316,0.00863,0.11354,0.06692,1.18875,0.01328,1.23398,1.15813,6.36242,1.01924,8.81955,4.69203,-6.45086,1.38950,-4.06164,-10.54528
240,2.19230580329895,52200,6066.69165,-264.79805,0.12553,0.00150,2.18820,0.00252,6016.82915,-1.36815,0.02791,-1.29259,-1.45069,1.15418,0.00020,1.15452,1.15384,-0.26551,0.01719,-0.22448,-0.31052,-303.31494,2.22592,-297.83701,-309.91428,1454.68554,151.00893,1989.71411,1167.14148,2972.64876,165.87497,3500.54175,2574.96533,-1.67333,0.00978,-1.64572,-1.70141,0.54771,0.00674,0.56356,0.53201,1.84045,0.25766,2.00000,0.79731,-4.36779,0.80695,-3.39627,-8.34723,9.85173,0.11968,10.16385,9.56847,4.26015,0.14799,4.85035,3.86678,36.70646,8.57977,83.98352,25.03237,-3.23105,1.59838,-0.32119,-9.47808,0.09333,0.00980,0.11963,0.06383,1.18866,0.01234,1.22818,1.15324,6.43998,1.10720,8.82176,4.56783,-6.34441,1.34590,-4.08968,-10.54039
241,2.2381021976470947,52400,6165.63313,-81.18753,-0.24522,0.00147,2.23360,0.00291,6286.62789,-1.36574,0.02707,-1.28730,-1.45921,1.15487,0.00020,1.15521,1.15453,-0.26556,0.01750,-0.21592,-0.30439,-303.29394,2.28324,-296.98911,-308.99374,1446.62138,142.82657,1882.96570,1049.64197,3005.83893,175.32093,3603.80200,2560.24268,-1.67332,0.00963,-1.64537,-1.69418,0.54796,0.00696,0.56798,0.52937,1.80092,0.30891,2.00000,0.56020,-4.52153,0.90918,-3.45000,-8.34993,9.84436,0.12123,10.11657,9.49891,4.29388,0.16801,5.27939,3.86392,38.78121,10.83223,83.80336,26.00514,-3.45451,1.59679,-0.61460,-8.94993,0.09235,0.00812,0.11283,0.06759,1.18929,0.01214,1.22023,1.15861,6.48685,1.02012,8.81947,4.55337,-6.40240,1.43200,-3.92380,-10.54190
242,2.0881693363189697,52600,5731.59789,-31.30786,-0.02112,0.00224,2.08357,0.00228,1996.05509,-1.36332,0.03093,-1.27647,-1.45085,1.15556,0.00020,1.15590,1.15521,-0.26679,0.01669,-0.22334,-0.30988,-303.33385,2.32399,-296.95822,-309.37833,1446.13148,138.98593,1912.07642,1045.33276,3028.66594,190.69556,3505.70947,2478.07300,-1.67356,0.01044,-1.64574,-1.70303,0.54752,0.00801,0.57555,0.52522,1.79618,0.32313,2.00000,0.57610,-4.51605,0.88775,-3.42375,-8.34966,9.84528,0.11538,10.14087,9.54533,4.27886,0.14900,4.70788,3.94129,38.25493,9.95557,83.10315,25.98302,-3.31514,1.50874,-0.40384,-11.11659,0.09187,0.01002,0.12095,0.06234,1.18854,0.01176,1.21796,1.15269,6.30383,0.90177,8.81904,4.58229,-6.45644,1.42310,-4.06296,-10.54051
243,2.668203353881836,52800,5724.81412,-105.29416,0.03924,0.00191,2.66390,0.00232,6220.68042,-1.36005,0.02953,-1.26959,-1.43818,1.15624,0.00020,1.15659,1.15590,-0.26755,0.01803,-0.21856,-0.31439,-303.44047,2.36060,-297.18579,-310.29178,1432.40166,135.27446,1866.13794,1137.82495,3037.80658,189.24829,3689.90869,2383.44189,-1.67191,0.00953,-1.64821,-1.69606,0.54699,0.00714,0.56712,0.52501,1.80573,0.32113,2.00000,0.69507,-4.52272,1.00946,-3.42557,-8.35035,9.84291,0.12402,10.16717,9.50726,4.26568,0.17905,4.99456,3.90410,38.44335,12.43715,83.62999,25.94947,-3.13978,1.54976,-0.10083,-8.71254,0.09174,0.00931,0.11371,0.06769,1.18894,0.01256,1.22610,1.15249,6.30569,1.06666,8.82108,4.53103,-6.42394,1.27783,-3.92152,-10.54069
244,2.6308434009552,53000,5716.96660,-133.32027,-1.01793,0.00187,2.62653,0.00237,6249.62871,-1.35743,0.02953,-1.28655,-1.45253,1.15693,0.00020,1.15727,1.15659,-0.26681,0.01808,-0.21513,-0.32569,-303.76830,2.30520,-298.10080,-311.13718,1441.22951,149.34123,1874.14380,1117.39966,3094.76226,185.84145,3749.46411,2679.52612,-1.67058,0.00930,-1.64336,-1.69661,0.54667,0.00695,0.56399,0.53063,1.82272,0.28382,2.00000,0.90603,-4.51208,0.95329,-3.43833,-8.35091,9.83038,0.12382,10.23117,9.47643,4.25174,0.15706,4.93376,3.89336,37.66907,10.64540,85.35210,26.56155,-3.41946,1.77738,-0.09951,-12.35484,0.09168,0.00919,0.11368,0.06625,1.18957,0.01236,1.22562,1.15749,6.28545,1.00612,8.82263,4.48075,-6.43612,1.20692,-4.05441,-10.53359
245,2.1843149662017822,53200,5717.28041,-122.12984,-0.94465,0.00214,2.17998,0.00212,6292.09109,-1.35394,0.03039,-1.26601,-1.44428,1.15762,0.00020,1.15796,1.15728,-0.26924,0.01805,-0.22425,-0.33582,-303.59108,2.43288,-295.56735,-310.09290,1434.86381,145.79549,1934.06311,1057.08032,3076.94053,178.27735,3594.30737,2653.49390,-1.67165,0.01006,-1.64934,-1.69734,0.54569,0.00698,0.56701,0.52408,1.73438,0.35449,2.00000,0.55095,-4.50408,0.97524,-3.42918,-8.35110,9.83952,0.12345,10.29419,9.53255,4.25003,0.16207,4.98280,3.85304,38.54937,11.69804,83.67273,24.22801,-3.16455,1.49813,-0.39276,-9.16317,0.09167,0.00944,0.12188,0.06671,1.18859,0.01174,1.22240,1.15789,6.22484,0.94327,8.81940,4.46610,-6.48771,1.24721,-3.88468,-10.53346
246,2.41764760017395,53400,5717.19995,-150.62175,-0.98306,0.00152,2.41299,0.00304,6324.35323,-1.34948,0.03063,-1.25188,-1.42789,1.15831,0.00020,1.15865,1.15797,-0.26910,0.01645,-0.22805,-0.32277,-303.48226,2.21229,-296.09479,-308.21234,1432.50203,135.73908,1753.42029,1140.97144,3067.53413,181.22944,3534.58203,2592.28394,-1.67181,0.01058,-1.64750,-1.69815,0.54594,0.00740,0.57448,0.52614,1.81616,0.27342,2.00000,0.95659,-4.52718,1.01342,-3.51165,-8.35096,9.83113,0.11204,10.19296,9.54965,4.27339,0.16380,4.87570,3.89538,39.63264,12.04336,83.87564,25.59819,-3.43233,1.63126,-0.24277,-9.58429,0.09127,0.00890,0.11315,0.06247,1.18860,0.01146,1.21725,1.16061,6.33442,0.93688,8.81768,4.72463,-6.43861,1.42551,-4.11255,-10.53588
247,2.581531047821045,53600,5602.87706,-61.52309,-0.26849,0.00205,2.57666,0.00273,4236.56644,-1.35142,0.02979,-1.26275,-1.44043,1.15900,0.00020,1.15935,1.15866,-0.27296,0.01672,-0.21634,-0.31446,-303.42056,2.32660,-297.42783,-309.59183,1440.53744,143.57405,2071.84644,1140.17566,3063.90418,175.45423,3500.50391,2599.51514,-1.67234,0.01066,-1.64726,-1.69932,0.54661,0.00704,0.56422,0.53108,1.81370,0.30293,2.00000,0.69871,-4.50330,0.93391,-3.45157,-8.34969,9.84985,0.11329,10.13184,9.46430,4.27008,0.16252,5.00199,3.95647,38.95142,11.43872,84.06538,25.61134,-3.15717,1.48998,-0.10644,-10.10970,0.09129,0.00904,0.11645,0.06713,1.18965,0.01316,1.22433,1.14290,6.44536,1.10613,8.82458,4.54986,-6.55242,1.45280,-3.92638,-10.53738
248,2.0023138523101807,53800,5600.11886,-113.60604,-0.97934,0.00165,1.99850,0.00210,6222.64268,-1.34739,0.02885,-1.25573,-1.42495,1.15970,0.00020,1.16004,1.15935,-0.27274,0.01822,-0.22560,-0.31980,-303.45279,2.52307,-297.94141,-310.68344,1448.07176,146.99747,1892.64539,1134.89062,3082.18346,176.16717,3530.51953,2546.49487,-1.67188,0.00983,-1.64401,-1.69927,0.54564,0.00708,0.56279,0.52470,1.78560,0.31778,2.00000,0.74517,-4.45784,0.92151,-3.44199,-8.34936,9.84090,0.12295,10.16072,9.52184,4.25438,0.16220,4.90573,3.81342,38.41394,11.68086,83.58293,24.13547,-3.40944,1.76619,-0.49787,-10.34504,0.09035,0.00954,0.11715,0.06201,1.18907,0.01236,1.22486,1.15567,6.40241,1.02677,8.82406,4.75223,-6.45445,1.24375,-4.38824,-10.53507
249,2.52185320854187,54000,5612.22645,-214.92414,-2.77573,0.00159,2.51788,0.00232,6276.78983,-1.34608,0.02950,-1.27115,-1.43602,1.16039,0.00020,1.16074,1.16005,-0.27337,0.01863,-0.22662,-0.31869,-303.89090,2.42883,-296.75156,-309.92731,1429.46158,138.34755,1855.73914,1115.59265,3084.71287,193.36572,3626.37109,2501.38477,-1.67181,0.00874,-1.65147,-1.70183,0.54634,0.00687,0.56753,0.52991,1.79845,0.30483,2.00000,0.76528,-4.55507,0.98989,-3.53370,-8.34683,9.83771,0.12507,10.13933,9.52502,4.24833,0.16691,4.91105,3.92639,39.05551,11.93977,83.58975,25.45123,-3.13968,1.58296,-0.23694,-10.12308,0.09112,0.00915,0.10970,0.06621,1.18898,0.01218,1.21725,1.14681,6.32447,1.05599,8.82510,4.63777,-6.43287,1.31702,-3.99492,-10.53209
250,2.3597376346588135,54200,5638.00485,-151.10202,-0.88761,0.00205,2.35515,0.00245,6274.61316,-1.34308,0.03061,-1.26269,-1.41707,1.16109,0.00020,1.16143,1.16074,-0.27549,0.01672,-0.22568,-0.32452,-303.98768,2.13465,-299.24005,-309.95227,1432.57124,149.98977,1970.65430,1044.40491,3091.75758,189.34402,3719.00000,2678.09448,-1.67022,0.01030,-1.63388,-1.69571,0.54560,0.00769,0.57195,0.52410,1.76602,0.33430,2.00000,0.71864,-4.56620,1.07333,-3.49703,-8.34716,9.84459,0.11210,10.17416,9.50893,4.24876,0.17233,5.04155,3.92179,38.83013,12.74103,83.21869,23.88018,-3.32205,1.59900,-0.41661,-10.64133,0.09029,0.00885,0.11765,0.06810,1.18950,0.01161,1.23031,1.15838,6.18900,1.01577,8.82396,4.58875,-6.34571,1.29679,-4.17744,-10.53252
251,2.3792612552642822,54400,5633.69437,-132.02197,-0.98862,0.00173,2.37508,0.00237,6243.52305,-1.34356,0.02818,-1.27039,-1.41170,1.16178,0.00020,1.16213,1.16143,-0.27693,0.01927,-0.22902,-0.33172,-303.57066,2.45546,-296.14233,-310.11057,1465.96053,147.46115,2000.21484,1139.86938,3114.39125,195.82103,3774.02124,2551.07788,-1.67206,0.00975,-1.64163,-1.69342,0.54575,0.00709,0.56398,0.52736,1.76480,0.34082,2.00000,0.53890,-4.55330,0.95334,-3.41445,-8.34816,9.84682,0.12876,10.21349,9.52563,4.24657,0.17583,4.98971,3.83000,38.84740,11.50730,83.42464,25.51406,-3.20896,1.49172,-0.20800,-7.32953,0.09074,0.00917,0.11860,0.06786,1.18861,0.01286,1.22240,1.15162,6.25061,1.02668,8.82426,4.48490,-6.38507,1.29048,-4.30010,-10.53450
252,2.5960702896118164,54600,6079.15629,-166.54900,-0.97572,0.00169,2.59195,0.00235,6450.67431,-1.34240,0.02955,-1.26627,-1.41785,1.16248,0.00020,1.16282,1.16213,-0.27593,0.01705,-0.23094,-0.32181,-304.05074,2.30971,-297.50928,-309.56711,1457.43538,138.71069,1942.75317,1099.07556,3113.53125,166.65955,3494.68164,2653.77417,-1.67159,0.00909,-1.64395,-1.69996,0.54578,0.00693,0.56525,0.52705,1.79865,0.31416,2.00000,0.69551,-4.63679,1.08748,-3.50316,-8.35019,9.83285,0.11327,10.14044,9.53691,4.25445,0.18276,4.80604,3.83909,40.50743,14.39924,85.38324,22.55208,-3.26023,1.59766,-0.41156,-9.27130,0.09098,0.00918,0.11632,0.07064,1.18860,0.01199,1.21583,1.16051,6.33211,1.04515,8.82831,4.56612,-6.54146,1.34828,-4.12988,-10.53740
253,2.2803914546966553,54800,6081.92697,-301.92753,-2.63794,0.00142,2.27633,0.00256,6248.38723,-1.34007,0.03095,-1.26385,-1.43673,1.16317,0.00020,1.16351,1.16282,-0.27619,0.01778,-0.23539,-0.31881,-303.81856,2.25534,-296.07852,-308.85040,1452.54440,139.71444,1970.13318,1081.64917,3105.20596,177.40697,3598.26489,2527.01074,-1.67124,0.01031,-1.64490,-1.70015,0.54583,0.00693,0.56601,0.52605,1.82397,0.28540,2.00000,0.83881,-4.60714,1.12513,-3.54520,-8.34945,9.82733,0.11773,10.10687,9.55664,4.26033,0.19052,5.09399,3.85879,40.32070,13.65769,83.83528,25.49985,-3.44785,1.55075,-0.43070,-9.72296,0.09099,0.00964,0.11526,0.05776,1.18820,0.01169,1.22711,1.15724,6.32940,1.05588,8.82745,4.61301,-6.64899,1.36533,-4.09764,-10.53534
254,2.3537535667419434,55000,6032.89165,-136.42803,-0.97505,0.00171,2.34942,0.00253,5759.27546,-1.33318,0.03107,-1.25067,-1.42525,1.16386,0.00020,1.16420,1.16352,-0.27700,0.01782,-0.22862,-0.32060,-304.20025,2.41403,-296.59598,-309.47217,1422.68582,146.85049,1870.90613,1083.76892,3118.04732,178.41992,3701.49658,2629.30005,-1.67161,0.00968,-1.64872,-1.69584,0.54450,0.00712,0.56697,0.52692,1.74960,0.34876,2.00000,0.69175,-4.45955,0.94150,-3.39788,-8.34877,9.82553,0.11759,10.10896,9.50896,4.21242,0.16197,4.84283,3.81324,38.03984,10.84778,83.12578,24.09467,-3.32593,1.82394,-0.11123,-11.48420,0.09027,0.00951,0.12797,0.06885,1.18729,0.01152,1.21482,1.15123,6.27763,1.04788,8.82103,4.62342,-6.36935,1.24535,-4.08931,-10.53572
255,2.3755576610565186,55200,5984.98131,-120.51562,-1.82232,0.00181,2.37106,0.00260,5812.98765,-1.33663,0.02938,-1.25251,-1.42378,1.16455,0.00020,1.16490,1.16421,-0.27824,0.01846,-0.22041,-0.33303,-304.31948,2.33416,-295.61737,-311.53888,1421.72279,125.51006,1788.25391,1108.39441,3112.15304,171.47995,3609.58765,2679.33789,-1.67026,0.00996,-1.64231,-1.69503,0.54525,0.00712,0.56781,0.52659,1.74944,0.34152,2.00000,0.69012,-4.45241,0.95807,-3.44337,-8.34731,9.82652,0.12139,10.19000,9.44779,4.21397,0.16835,5.14085,3.87175,37.36730,11.06841,84.00833,23.79325,-3.28401,1.60627,-0.40482,-11.40877,0.09001,0.00910,0.11668,0.06376,1.18765,0.01224,1.22522,1.16198,6.32839,1.09227,8.82704,4.49055,-6.36088,1.23524,-4.14309,-10.53048
256,2.287320375442505,55400,5741.58426,-148.45450,-0.19390,0.00183,2.28325,0.00217,3890.38275,-1.33152,0.03158,-1.23926,-1.43974,1.16525,0.00020,1.16559,1.16490,-0.27918,0.01760,-0.24141,-0.34593,-304.06871,2.37901,-294.33994,-309.93042,1433.73215,141.96002,1946.61682,1102.57849,3144.48472,173.13050,3625.87866,2691.95215,-1.67003,0.00934,-1.64603,-1.69806,0.54474,0.00681,0.56238,0.52803,1.79117,0.32685,2.00000,0.70747,-4.58278,1.07056,-3.48985,-8.34553,9.82556,0.11513,10.26349,9.57887,4.24454,0.15981,4.85745,3.96162,39.44625,12.44748,84.52109,25.83549,-3.44921,1.71082,-0.14698,-9.38450,0.08935,0.00869,0.11638,0.06514,1.18912,0.01119,1.22103,1.15418,6.32248,0.98330,8.82456,4.48855,-6.51214,1.44716,-4.00650,-10.53233
257,2.3743762969970703,55600,5718.00209,-125.28869,-0.92083,0.00165,2.37046,0.00220,4000.74476,-1.32785,0.02924,-1.24434,-1.40874,1.16594,0.00020,1.16629,1.16560,-0.27938,0.01872,-0.22593,-0.32997,-304.09231,2.31436,-296.95712,-309.76212,1428.73636,133.53880,1847.56177,1133.99536,3145.56731,170.74554,3765.47241,2677.08521,-1.66946,0.00990,-1.64243,-1.69754,0.54497,0.00685,0.56437,0.52938,1.77327,0.31897,2.00000,0.69507,-4.46933,0.85151,-3.46678,-8.34760,9.81978,0.12162,10.14804,9.47323,4.21850,0.15003,4.88068,3.91678,37.36226,9.50842,83.71746,25.38105,-3.34599,1.55926,-0.51343,-9.10952,0.08945,0.01019,0.12449,0.06195,1.18769,0.01205,1.22494,1.15171,6.28051,1.05607,8.82170,4.23011,-6.47385,1.39451,-4.00950,-10.52915
